Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,91486,-,-,-,34.85,-116.78,-8,561,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,v3.0.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,,,,,,
2012,1,5,9,0,0.0,15.0,15.0,-16.85,-14.68,629.5763,307,3.0,0.216,,,,,,
2012,1,5,10,0,0.0,28.0,28.0,-16.78,-14.73,628.5019,303,2.9,0.216,,,,,,
2012,1,5,11,0,0.0,29.0,29.0,-16.7,-14.78,627.4275,299,2.8,0.216,,,,,,
2012,1,5,12,0,0.0,33.0,33.0,-16.63,-14.83,626.3530999999999,295,2.7,0.216,,,,,,
2012,1,5,13,0,0.0,85.0,85.0,-16.86,-15.31,625.1547,293,2.6,0.216,,,,,,
2012,1,5,14,0,0.0,27.0,27.0,-17.09,-15.79,623.9564,291,2.4,0.216,,,,,,
2012,1,5,15,0,0.0,18.0,18.0,-17.34,-16.26,622.758,288,2.3,0.216,,,,,,
2012,1,5,16,0,0.0,18.0,18.0,-16.37,-15.4,621.9729,289,2.2,0.216,,,,,,
2012,1,5,17,0,-0.0,0.0,0.0,-15.39,-14.53,621.1877,289,2.1,0.216,,,,,,
2012,1,5,18,0,-0.0,0.0,0.0,-14.42,-13.67,620.4026,290,2.0,0.216,,,,,,
2012,1,5,19,0,-0.0,0.0,0.0,-14.23,-13.41,620.7125,298,2.2,0.216,,,,,,
2012,1,5,20,0,-0.0,0.0,0.0,-14.05,-13.16,621.0225,305,2.4,0.216,,,,,,
2012,1,5,21,0,-0.0,0.0,0.0,-13.86,-12.91,621.3324,313,2.6,0.216,,,,,,
2012,1,5,22,0,-0.0,0.0,0.0,-14.48,-13.44,621.8901999999999,312,2.5,0.216,,,,,,
2012,1,5,23,0,-0.0,0.0,0.0,-15.09,-13.97,622.4481,312,2.5,0.216,,,,,,
2012,1,5,24,0,-0.0,0.0,0.0,-15.71,-14.49,623.006,311,2.4,0.216,,,,,,
2012,1,6,1,0,-0.0,0.0,0.0,-16.44,-14.89,624.039,315,3.0,0.216,,,,,,
2012,1,6,2,0,-0.0,0.0,0.0,-17.17,-15.3,625.0721,319,3.7,0.216,,,,,,
2012,1,6,3,0,-0.0,0.0,0.0,-17.92,-15.7,626.1052,323,4.3,0.216,,,,,,
2012,1,6,4,0,-0.0,0.0,0.0,-18.22,-15.8,626.7663,323,4.2,0.216,,,,,,
2012,1,6,5,0,-0.0,0.0,0.0,-18.53,-15.9,627.4275,323,4.1,0.216,,,,,,
2012,1,6,6,0,-0.0,0.0,0.0,-18.84,-16.0,628.0887,323,4.0,0.216,,,,,,
2012,1,6,7,0,-0.0,0.0,0.0,-19.09,-16.26,628.7912,320,3.8,0.216,,,,,,
2012,1,6,8,0,-0.0,0.0,0.0,-19.33,-16.53,629.4936,316,3.6,0.216,,,,,,
2012,1,6,9,0,0.0,53.0,53.0,-19.57,-16.79,630.1962,313,3.4,0.216,,,,,,
2012,1,6,10,0,0.0,114.0,114.0,-20.0,-17.06,630.5887,312,3.5,0.216,,,,,,
2012,1,6,11,0,0.0,64.0,64.0,-20.44,-17.33,630.9812999999999,311,3.6,0.216,,,,,,
2012,1,6,12,0,0.0,64.0,64.0,-20.88,-17.6,631.3739,311,3.7,0.216,,,,,,
2012,1,6,13,0,0.0,33.0,33.0,-21.33,-18.13,632.1797,314,3.7,0.216,,,,,,
2012,1,6,14,0,0.0,27.0,27.0,-21.78,-18.67,632.9855,317,3.8,0.216,,,,,,
2012,1,6,15,0,0.0,18.0,18.0,-22.23,-19.2,633.7913,320,3.8,0.216,,,,,,
